                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.00912,                0.81927,                0.96629,                0.97752,                0.84567,                0.90707,                0.80344,                0.00706,                0.50645,                0.90274,              0.0059219,              0.0059219,              0.0059219
                     61,                0.00913,                0.82068,                0.96696,                0.97708,                0.84585,                 0.9071,                0.80399,                0.00703,                0.50529,                0.90201,              0.0058516,              0.0058516,              0.0058516
                     62,                0.00912,                0.81924,                 0.9665,                0.97703,                0.84604,                0.90723,                0.80454,                0.00703,                 0.5049,                0.90172,              0.0057812,              0.0057812,              0.0057812
                     63,                 0.0091,                 0.8167,                0.96639,                0.97679,                0.84633,                0.90735,                0.80489,                0.00701,                0.50421,                0.90126,              0.0057109,              0.0057109,              0.0057109
                     64,                 0.0091,                0.81733,                0.96594,                0.97741,                0.84627,                0.90743,                0.80488,                0.00701,                0.50354,                0.90106,              0.0056406,              0.0056406,              0.0056406
                     65,                0.00909,                0.81507,                0.96594,                0.97697,                0.84666,                0.90754,                0.80444,                0.00703,                0.50332,                0.90155,              0.0055703,              0.0055703,              0.0055703
                     66,                0.00908,                0.81496,                0.96514,                0.97732,                0.84661,                0.90767,                0.80452,                0.00703,                0.50271,                0.90151,                 0.0055,                 0.0055,                 0.0055
                     67,                0.00907,                0.81253,                0.96487,                 0.9777,                0.84667,                0.90781,                0.80483,                0.00701,                0.50188,                0.90112,              0.0054297,              0.0054297,              0.0054297
                     68,                0.00905,                0.81141,                0.96434,                0.97767,                0.84689,                0.90791,                0.80509,                0.00701,                0.50124,                0.90092,              0.0053594,              0.0053594,              0.0053594
                     69,                0.00905,                0.80989,                0.96431,                0.97767,                0.84703,                0.90808,                0.80565,                0.00698,                0.50026,                0.90032,              0.0052891,              0.0052891,              0.0052891
                     70,                0.00906,                0.81164,                 0.9644,                0.97715,                0.84757,                0.90821,                0.80582,                0.00697,                0.49958,                0.90018,              0.0052188,              0.0052188,              0.0052188
                     71,                0.00903,                 0.8079,                0.96393,                0.97748,                0.84775,                0.90842,                 0.8058,                0.00698,                0.49945,                0.90033,              0.0051484,              0.0051484,              0.0051484
                     72,                0.00903,                 0.8075,                0.96301,                0.97753,                0.84784,                0.90853,                0.80611,                0.00698,                0.49911,                0.90013,              0.0050781,              0.0050781,              0.0050781
                     73,                0.00902,                0.80556,                0.96345,                0.97779,                0.84779,                0.90873,                0.80622,                0.00698,                0.49851,                0.90011,              0.0050078,              0.0050078,              0.0050078
                     74,                  0.009,                0.80438,                0.96257,                0.97878,                0.84738,                0.90882,                0.80609,                0.00698,                0.49818,                 0.9003,              0.0049375,              0.0049375,              0.0049375
                     75,                0.00901,                0.80454,                0.96271,                0.97864,                0.84782,                0.90894,                0.80621,                0.00698,                0.49787,                0.90025,              0.0048672,              0.0048672,              0.0048672
                     76,                0.00898,                0.80167,                0.96189,                0.97812,                0.84835,                0.90908,                 0.8066,                0.00697,                0.49711,                0.89992,              0.0047969,              0.0047969,              0.0047969
                     77,                0.00898,                 0.8008,                0.96185,                0.97846,                0.84824,                0.90917,                 0.8069,                0.00696,                0.49632,                0.89967,              0.0047266,              0.0047266,              0.0047266
                     78,                0.00896,                  0.797,                 0.9612,                0.97837,                0.84841,                0.90925,                0.80705,                0.00696,                0.49593,                0.89966,              0.0046563,              0.0046563,              0.0046563
                     79,                0.00897,                0.79928,                0.96104,                0.97809,                0.84886,                0.90937,                0.80743,                0.00694,                  0.495,                0.89913,              0.0045859,              0.0045859,              0.0045859
                     80,                0.00896,                0.79692,                0.95988,                0.97822,                 0.8488,                0.90943,                  0.808,                0.00692,                0.49437,                0.89859,              0.0045156,              0.0045156,              0.0045156
                     81,                0.00894,                0.79458,                0.96005,                0.97821,                0.84884,                 0.9095,                0.80844,                0.00691,                0.49339,                0.89809,              0.0044453,              0.0044453,              0.0044453
                     82,                0.00894,                0.79492,                0.96055,                0.97791,                0.84937,                0.90962,                0.80868,                 0.0069,                0.49271,                 0.8979,               0.004375,               0.004375,               0.004375
                     83,                0.00893,                0.79357,                0.96043,                0.97801,                0.84942,                0.90974,                0.80885,                0.00691,                0.49228,                0.89786,              0.0043047,              0.0043047,              0.0043047
                     84,                0.00893,                0.79274,                0.95938,                0.97784,                0.84973,                0.90985,                0.80891,                 0.0069,                0.49191,                0.89783,              0.0042344,              0.0042344,              0.0042344
                     85,                 0.0089,                0.79091,                0.95885,                0.97805,                0.84991,                0.90993,                0.80914,                 0.0069,                0.49159,                0.89768,              0.0041641,              0.0041641,              0.0041641
                     86,                0.00889,                0.78765,                 0.9583,                0.97857,                0.84969,                0.91006,                0.80881,                0.00692,                0.49165,                0.89816,              0.0040938,              0.0040938,              0.0040938
                     87,                0.00888,                0.78701,                0.95835,                0.97821,                0.85005,                0.91018,                0.80907,                0.00691,                0.49105,                0.89797,              0.0040234,              0.0040234,              0.0040234
                     88,                0.00889,                0.78897,                0.95926,                0.97858,                0.84995,                0.91023,                0.80942,                0.00689,                 0.4904,                0.89747,              0.0039531,              0.0039531,              0.0039531
                     89,                0.00887,                0.78432,                0.95777,                0.97804,                0.85058,                0.91038,                0.80919,                0.00691,                0.49016,                0.89784,              0.0038828,              0.0038828,              0.0038828
                     90,                0.00887,                0.78556,                0.95843,                0.97813,                0.85069,                0.91053,                0.80925,                0.00692,                0.48983,                0.89796,              0.0038125,              0.0038125,              0.0038125
                     91,                0.00885,                0.78291,                0.95751,                0.97866,                0.85045,                0.91063,                0.80943,                0.00691,                0.48925,                 0.8978,              0.0037422,              0.0037422,              0.0037422
                     92,                0.00885,                0.78207,                0.95675,                 0.9783,                0.85077,                0.91074,                0.80962,                0.00691,                0.48878,                0.89766,              0.0036719,              0.0036719,              0.0036719
                     93,                0.00884,                0.78125,                0.95759,                0.97808,                 0.8511,                0.91083,                0.81033,                0.00688,                0.48774,                0.89687,              0.0036016,              0.0036016,              0.0036016
                     94,                0.00883,                0.77965,                0.95704,                0.97806,                0.85127,                0.91097,                0.81007,                0.00689,                0.48764,                0.89714,              0.0035313,              0.0035313,              0.0035313
                     95,                0.00882,                0.77851,                0.95637,                0.97847,                0.85107,                0.91104,                0.81028,                0.00688,                0.48725,                0.89698,              0.0034609,              0.0034609,              0.0034609
                     96,                0.00881,                0.77834,                0.95619,                 0.9783,                0.85141,                0.91109,                0.81072,                0.00687,                0.48669,                0.89668,              0.0033906,              0.0033906,              0.0033906
                     97,                0.00882,                0.77841,                0.95712,                0.97776,                  0.852,                0.91122,                0.81105,                0.00686,                0.48586,                0.89635,              0.0033203,              0.0033203,              0.0033203
                     98,                 0.0088,                0.77439,                0.95512,                0.97839,                 0.8518,                0.91135,                0.81067,                0.00689,                0.48575,                0.89694,                0.00325,                0.00325,                0.00325
                     99,                0.00879,                0.77494,                 0.9549,                0.97851,                0.85177,                0.91141,                0.81073,                0.00689,                0.48555,                0.89702,              0.0031797,              0.0031797,              0.0031797
                    100,                0.00878,                0.77223,                0.95446,                 0.9789,                0.85169,                0.91151,                0.81058,                 0.0069,                 0.4853,                0.89717,              0.0031094,              0.0031094,              0.0031094
                    101,                0.00876,                0.77122,                 0.9539,                 0.9791,                0.85165,                0.91157,                0.81121,                0.00688,                0.48463,                0.89658,              0.0030391,              0.0030391,              0.0030391
                    102,                0.00875,                 0.7701,                0.95374,                 0.9785,                0.85195,                0.91166,                0.81119,                0.00688,                0.48438,                0.89652,              0.0029688,              0.0029688,              0.0029688
                    103,                0.00874,                0.76729,                 0.9534,                0.97842,                0.85205,                0.91173,                0.81162,                0.00686,                 0.4835,                0.89604,              0.0028984,              0.0028984,              0.0028984
