                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.0048,                 0.9811,                0.95164,                0.97728,                0.85133,                0.91215,                0.80726,                0.00349,                0.59176,                0.90069,                 0.0055,                 0.0055,                 0.0055
                     75,                0.00479,                0.97984,                0.95098,                0.97753,                0.85112,                0.91228,                0.80727,                0.00349,                 0.5914,                 0.9007,              0.0054375,              0.0054375,              0.0054375
                     76,                0.00479,                0.97839,                0.95128,                 0.9771,                0.85158,                0.91242,                 0.8076,                0.00348,                0.59046,                0.90038,               0.005375,               0.005375,               0.005375
                     77,                0.00478,                0.97329,                0.95043,                0.97744,                0.85172,                0.91253,                0.80788,                0.00348,                0.58987,                0.90025,              0.0053125,              0.0053125,              0.0053125
                     78,                0.00478,                0.97568,                0.95046,                0.97798,                0.85145,                0.91268,                0.80805,                0.00348,                0.58922,                0.90013,                0.00525,                0.00525,                0.00525
                     79,                0.00477,                0.97163,                0.94954,                0.97801,                0.85158,                 0.9128,                0.80834,                0.00348,                0.58853,                0.89998,              0.0051875,              0.0051875,              0.0051875
                     80,                0.00478,                0.97383,                0.94996,                0.97734,                0.85238,                0.91292,                 0.8083,                0.00348,                0.58803,                0.90007,               0.005125,               0.005125,               0.005125
                     81,                0.00476,                0.96779,                0.94948,                0.97761,                0.85234,                0.91304,                0.80855,                0.00348,                0.58729,                0.89979,              0.0050625,              0.0050625,              0.0050625
                     82,                0.00476,                0.96847,                0.94885,                0.97738,                0.85272,                0.91311,                0.80859,                0.00348,                0.58677,                0.89977,                  0.005,                  0.005,                  0.005
                     83,                0.00475,                0.96671,                0.94923,                0.97756,                0.85289,                0.91326,                0.80896,                0.00347,                0.58627,                0.89961,              0.0049375,              0.0049375,              0.0049375
                     84,                0.00476,                0.96734,                0.94916,                0.97797,                0.85274,                0.91338,                0.80907,                0.00347,                0.58548,                0.89942,               0.004875,               0.004875,               0.004875
                     85,                0.00475,                0.96567,                0.94901,                0.97808,                0.85297,                0.91352,                0.80907,                0.00347,                0.58505,                0.89942,              0.0048125,              0.0048125,              0.0048125
                     86,                0.00475,                0.96515,                0.94839,                0.97792,                0.85309,                0.91362,                0.80928,                0.00347,                0.58461,                0.89925,                0.00475,                0.00475,                0.00475
                     87,                0.00475,                0.96474,                0.94854,                0.97821,                0.85304,                 0.9137,                0.80943,                0.00347,                0.58386,                0.89904,              0.0046875,              0.0046875,              0.0046875
                     88,                0.00474,                0.96467,                0.94905,                0.97795,                 0.8533,                0.91379,                 0.8097,                0.00346,                0.58343,                0.89875,               0.004625,               0.004625,               0.004625
                     89,                0.00473,                 0.9621,                 0.9476,                0.97797,                0.85315,                0.91383,                0.80974,                0.00346,                0.58337,                0.89892,              0.0045625,              0.0045625,              0.0045625
                     90,                0.00472,                0.95868,                0.94756,                 0.9783,                0.85325,                0.91389,                0.80998,                0.00346,                0.58307,                 0.8987,                 0.0045,                 0.0045,                 0.0045
                     91,                0.00471,                0.95414,                0.94685,                0.97859,                0.85315,                0.91397,                0.81012,                0.00346,                0.58247,                0.89865,              0.0044375,              0.0044375,              0.0044375
                     92,                0.00472,                0.95748,                0.94684,                0.97835,                0.85351,                0.91407,                0.81028,                0.00346,                0.58234,                0.89854,               0.004375,               0.004375,               0.004375
                     93,                0.00472,                0.95496,                0.94651,                0.97843,                 0.8538,                0.91412,                0.81024,                0.00346,                 0.5818,                0.89847,              0.0043125,              0.0043125,              0.0043125
                     94,                0.00471,                0.95384,                0.94616,                 0.9781,                0.85409,                0.91427,                0.81044,                0.00346,                0.58126,                0.89831,                0.00425,                0.00425,                0.00425
                     95,                0.00471,                0.95348,                 0.9461,                0.97829,                0.85433,                0.91437,                0.81055,                0.00346,                0.58035,                0.89825,              0.0041875,              0.0041875,              0.0041875
                     96,                 0.0047,                 0.9498,                0.94523,                0.97835,                0.85435,                0.91446,                0.81086,                0.00345,                 0.5797,                0.89798,               0.004125,               0.004125,               0.004125
                     97,                 0.0047,                0.95002,                0.94578,                0.97837,                0.85433,                0.91454,                0.81083,                0.00346,                0.57963,                0.89799,              0.0040625,              0.0040625,              0.0040625
                     98,                 0.0047,                0.94924,                0.94543,                0.97794,                 0.8548,                0.91463,                0.81089,                0.00346,                0.57924,                0.89778,                  0.004,                  0.004,                  0.004
                     99,                0.00469,                 0.9476,                0.94463,                0.97809,                0.85476,                0.91469,                0.81102,                0.00345,                 0.5784,                0.89758,              0.0039375,              0.0039375,              0.0039375
                    100,                0.00469,                0.94828,                0.94514,                0.97819,                0.85468,                 0.9148,                0.81125,                0.00345,                0.57795,                0.89753,               0.003875,               0.003875,               0.003875
                    101,                0.00468,                0.94326,                0.94381,                 0.9779,                  0.855,                0.91489,                0.81141,                0.00345,                0.57757,                0.89725,              0.0038125,              0.0038125,              0.0038125
                    102,                0.00467,                0.94296,                0.94426,                0.97766,                 0.8554,                0.91498,                0.81182,                0.00344,                0.57715,                0.89692,                0.00375,                0.00375,                0.00375
                    103,                0.00468,                0.94356,                0.94387,                0.97775,                0.85551,                0.91503,                 0.8119,                0.00344,                0.57702,                0.89704,              0.0036875,              0.0036875,              0.0036875
                    104,                0.00466,                 0.9394,                 0.9438,                0.97787,                0.85539,                0.91509,                0.81199,                0.00344,                0.57642,                  0.897,               0.003625,               0.003625,               0.003625
                    105,                0.00465,                0.93639,                0.94262,                0.97764,                0.85594,                0.91519,                0.81212,                0.00344,                0.57596,                0.89688,              0.0035625,              0.0035625,              0.0035625
                    106,                0.00467,                0.94077,                0.94284,                0.97805,                0.85578,                0.91531,                0.81222,                0.00344,                0.57522,                0.89663,                 0.0035,                 0.0035,                 0.0035
                    107,                0.00465,                0.93582,                 0.9428,                 0.9778,                0.85596,                 0.9154,                0.81232,                0.00344,                0.57457,                0.89652,              0.0034375,              0.0034375,              0.0034375
                    108,                0.00465,                0.93556,                0.94254,                0.97798,                0.85595,                0.91553,                0.81243,                0.00343,                 0.5739,                0.89633,               0.003375,               0.003375,               0.003375
                    109,                0.00465,                0.93595,                0.94265,                0.97767,                 0.8564,                0.91566,                0.81252,                0.00343,                0.57372,                0.89627,              0.0033125,              0.0033125,              0.0033125
                    110,                0.00464,                0.93222,                0.94157,                0.97803,                0.85603,                0.91573,                0.81294,                0.00343,                0.57304,                0.89599,                0.00325,                0.00325,                0.00325
                    111,                0.00463,                 0.9305,                0.94212,                0.97829,                0.85604,                0.91575,                0.81311,                0.00342,                0.57249,                0.89586,              0.0031875,              0.0031875,              0.0031875
                    112,                0.00464,                0.93139,                0.94168,                0.97784,                0.85653,                0.91586,                0.81319,                0.00342,                0.57226,                0.89588,               0.003125,               0.003125,               0.003125
                    113,                0.00463,                0.93074,                0.94084,                0.97786,                0.85672,                0.91593,                0.81304,                0.00343,                0.57206,                0.89601,              0.0030625,              0.0030625,              0.0030625
                    114,                0.00462,                0.92815,                 0.9408,                 0.9778,                0.85697,                  0.916,                0.81326,                0.00343,                0.57162,                0.89591,                  0.003,                  0.003,                  0.003
                    115,                0.00463,                0.92783,                0.94039,                0.97756,                0.85711,                 0.9161,                0.81321,                0.00343,                0.57128,                0.89594,              0.0029375,              0.0029375,              0.0029375
                    116,                0.00461,                0.92456,                0.94046,                0.97746,                0.85742,                0.91618,                0.81357,                0.00342,                0.57051,                0.89568,               0.002875,               0.002875,               0.002875
                    117,                 0.0046,                0.92266,                0.93995,                 0.9778,                 0.8573,                0.91625,                0.81371,                0.00342,                0.57004,                0.89552,              0.0028125,              0.0028125,              0.0028125
                    118,                0.00461,                0.92361,                0.93975,                0.97852,                 0.8568,                0.91636,                0.81379,                0.00342,                0.56947,                0.89558,                0.00275,                0.00275,                0.00275
                    119,                0.00413,                0.80309,                0.93547,                0.97844,                0.85774,                0.91692,                0.81469,                0.00341,                0.56628,                0.89482,              0.0026875,              0.0026875,              0.0026875
                    120,                0.00411,                0.79963,                0.93364,                0.97905,                0.85828,                0.91753,                0.81592,                0.00339,                0.56274,                0.89389,               0.002625,               0.002625,               0.002625
                    121,                 0.0041,                 0.7967,                0.93242,                0.97863,                0.85954,                 0.9179,                 0.8168,                0.00338,                0.55973,                0.89307,              0.0025625,              0.0025625,              0.0025625
                    122,                 0.0041,                0.79654,                0.93308,                0.97897,                0.85981,                0.91832,                0.81752,                0.00337,                 0.5575,                0.89243,                 0.0025,                 0.0025,                 0.0025
                    123,                0.00408,                0.79175,                0.93137,                0.97951,                0.86006,                0.91848,                0.81789,                0.00336,                0.55595,                0.89209,              0.0024375,              0.0024375,              0.0024375
                    124,                0.00408,                 0.7921,                0.93129,                0.97938,                 0.8604,                0.91874,                0.81835,                0.00336,                0.55428,                0.89168,               0.002375,               0.002375,               0.002375
                    125,                0.00407,                0.78895,                0.93012,                0.97921,                 0.8607,                0.91897,                0.81892,                0.00335,                0.55285,                0.89111,              0.0023125,              0.0023125,              0.0023125
                    126,                0.00406,                0.78653,                0.93005,                0.97895,                0.86106,                0.91922,                0.81937,                0.00334,                0.55164,                0.89062,                0.00225,                0.00225,                0.00225
                    127,                0.00406,                0.78511,                0.92981,                0.97888,                0.86143,                0.91934,                0.81945,                0.00334,                0.55105,                0.89049,              0.0021875,              0.0021875,              0.0021875
                    128,                0.00404,                0.78298,                0.92914,                0.97871,                0.86189,                0.91947,                0.81975,                0.00333,                0.54989,                0.89016,               0.002125,               0.002125,               0.002125
